elimination	fold	n_features	n_max	n_redundant	test_acc	test_nmi	test_roc	train_acc	train_nmi	train_roc
0.2	0	145	58	6553	0.88	0.47216146510431134	0.8795518207282913	1.0	1.0	1.0
0.2	1	20000	73	1372	0.86	0.4157611883571446	0.86	1.0	1.0	1.0
0.2	2	228	182	5242	0.82	0.32091195187981514	0.8200000000000001	1.0	1.0	1.0
0.2	3	182	73	5242	0.91	0.564205452925309	0.91	1.0	1.0	1.0
0.2	4	1097	73	5242	0.84	0.3656904453594348	0.84	1.0	1.0	1.0
