elimination	fold	n_features	n_max	n_redundant	test_acc	test_nmi	test_roc	train_acc	train_nmi	train_roc
0.2	0	92	58	286	0.82	0.3243218723679388	0.8207282913165266	0.8225	0.32581779680968675	0.8225
0.2	1	92	145	358	0.8	0.2788842425598499	0.7999999999999999	0.835	0.3541725630755638	0.8350458761469037
0.2	2	116	58	560	0.86	0.4218168453401451	0.86	0.84	0.3693065418277057	0.8398209955248881
0.2	3	116	145	228	0.83	0.3447660573350479	0.8300000000000001	0.86	0.4160942449609441	0.8599464986624666
0.2	4	116	116	286	0.81	0.29875197511813195	0.8099999999999999	0.88	0.47171885574938544	0.8800720018000451
