elimination	fold	n_features	n_max	n_redundant	test_acc	test_nmi	test_roc	train_acc	train_nmi	train_roc
0.2	0	20000	1097	2683	0.81	0.3008228729215157	0.8105242096838736	0.95	0.7149460394223507	0.95
0.2	1	701	877	20000	0.85	0.3904935986852873	0.8499999999999999	0.94	0.6728320573220241	0.9400235005875147
0.2	2	701	116	5242	0.88	0.47823917219523926	0.8799999999999999	0.925	0.6300664395783223	0.9251981299532487
0.2	3	92	286	4193	0.92	0.6109637147284563	0.9199999999999999	0.94	0.673662542445382	0.9400485012125303
0.2	4	116	2683	6553	0.87	0.44632888749472316	0.8699999999999999	0.9325	0.6676137316737458	0.9327358183954598
